"전체순서","중요도","게임","컨셉","효과음 확정명","납품 파일명","재생 시점","원하는 느낌","권장 길이(초)","반복","영문 검색어","한글 검색어","제작 및 재생 지침","현재 상태","진행 상태(수정)","선택한 음원 URL(수정)","제작자 및 이용조건(수정)","내 우선순위(수정)","메모(수정)"
"1","P0","공통","전체 게임 공통","기록 등록","sfx_common_record_registered.wav","클리어한 스테이지 기록이 자동 등록되는 순간","보안 도장 탁 + 밝은 확인음","0.65","아니오","secure record saved confirmation stamp chime","기록 등록 효과음 보안 도장 확인음","공통 성공음 뒤에 150ms 간격; 기록 수 증가와 정확히 동기화","기록 등록 기능 존재; 전용 사운드 이벤트 분리 필요","미착수","","","P0",""
"2","P0","공통","전체 게임 공통","기억 손실","sfx_common_memory_lost.wav","스테이지 실패 후 기억이 1개 차감되는 순간","낮은 유리 금 + 데이터 조각이 꺼지는 소리","0.55","아니오","memory lost digital glass crack short","기억 손실 효과음 낮은 유리 금 데이터 꺼짐","공통 실패음 직후 120~180ms 뒤에 작게 겹침; 목숨 차감당 1회","기억 차감 기능 존재; 전용 사운드 이벤트 분리 필요","미착수","","","P0",""
"3","P0","공통","전체 게임 공통","스테이지 성공","sfx_common_stage_clear.wav","클리어 확정","밝은 3음 상승 징글","0.8","아니오","arcade success jingle short","스테이지 성공 효과음 밝은 3음 상승 징글","직접 합성 가능; 게임별 성공음은 이 소리를 재사용","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"4","P0","공통","전체 게임 공통","스테이지 실패","sfx_common_stage_fail.wav","실패 확정","낮아지는 2음 + 짧은 끊김","0.7","아니오","arcade fail game over short","스테이지 실패 효과음 낮아지는 2음 + 짧은 끊김","단순 충돌과 구분; 목숨 손실마다 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"5","P0","공통","전체 게임 공통","스테이지 재소환","sfx_common_respawn.wav","제한시간 안에서 추락·충돌 후 플레이를 이어 가는 재소환 순간","짧은 역재생 슝 + 데이터 복원 톡","0.35","아니오","short game respawn rewind digital pop","스테이지 재소환 효과음 짧은 역재생 슝 데이터 복원 톡","스테이지 실패음과 구분; 입력 잠금이 풀리기 직전에 1회","재소환 기능 존재; 현재는 공통 hit 합성음 사용","미착수","","","P0",""
"6","P0","공통","전체 게임 공통","시간 부족 경고","sfx_common_timer_warning.wav","남은 시간 경고 진입","날카롭지 않은 짧은 삑","0.12","아니오","soft countdown warning beep","시간 부족 경고 효과음 날카롭지 않은 짧은 삑","직접 합성; 마지막 5초 초당 1회 제안; 중복 경고 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"7","P0","공통","전체 게임 공통","시간 손실 충돌","sfx_common_penalty_hit.wav","벽 충돌 등 시간 차감 판정 순간","짧고 둔한 퍽 + 낮은 디지털 하강음","0.25","아니오","arcade impact damage short","시간 손실 충돌 효과음 짧고 둔한 퍽 + 낮은 디지털 하강음","충돌과 시간 손실을 한 소리로; 연속 접촉에는 판정당 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"8","P0","E1","중력 대쉬","중력 반전","sfx_e1_gravity_flip.wav","중력 전환 입력 성립","상하로 꺾이는 디지털 슝","0.18","아니오","8 bit gravity flip laser sweep","중력 반전 효과음 상하로 꺾이는 디지털 슝","직접 신스 합성; 반전 방향별 피치 변형으로 같은 파일 활용","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"9","P0","E2","왁뿌볼 / 바운스볼","왁뿌볼 점프","sfx_e2_wax_jump.wav","점프 성립","말랑한 뿅","0.18","아니오","soft rubber ball boing short","왁뿌볼 점프 효과음 말랑한 뿅","직접 합성; 착지와 다른 음높이","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"10","P0","E2","왁뿌볼 / 바운스볼","왁스 껍질 균열","sfx_e2_wax_crack.wav","점프로 껍질이 깎일 때","얇게 빠각 부스러지는 소리","0.25","아니오","thin wax shell crack crinkle","왁스 껍질 균열 효과음 얇게 빠각 부스러지는 소리","얇은 과자/왁스 녹음; 점프 위에 작게 겹쳐 점프력 감소 전달","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"11","P0","E3","사람 쌓기","단상 밖 추락","sfx_e3_person_fall.wav","사람이 단상을 놓치고 화면 아래로 완전히 이탈","짧게 멀어지는 우웅 + 작은 툭","0.45","아니오","cartoon fall away short muted","사람 쌓기 단상 밖 추락 효과음","화면 밖 제거 확정 때 1회; 공통 스테이지 실패음은 재생하지 않음","화면 밖 제거 기능 존재; 사운드 없음","미착수","","","P0",""
"12","P0","E3","사람 쌓기","목표 높이 진입","sfx_e3_target_height.wav","탑이 목표 높이에 처음 닿아 3초 버티기가 시작될 때","맑은 단음 + 짧은 유지 펄스","0.3","아니오","target height reached hold start chime","사람 쌓기 목표 높이 도달 버티기 시작음","높이 아래로 내려가면 재무장; 다시 진입할 때만 재생","3초 버티기 판정 존재; 전용 진입 이벤트 필요","미착수","","","P0",""
