"전체순서","중요도","게임","컨셉","효과음 확정명","납품 파일명","재생 시점","원하는 느낌","권장 길이(초)","반복","영문 검색어","한글 검색어","제작 및 재생 지침","현재 상태","진행 상태(수정)","선택한 음원 URL(수정)","제작자 및 이용조건(수정)","내 우선순위(수정)","메모(수정)"
"1","P0","공통","전체 게임 공통","시간 손실 충돌","sfx_common_penalty_hit.wav","벽 충돌 등 시간 차감 판정 순간","짧고 둔한 퍽 + 낮은 디지털 하강음","0.25","아니오","arcade impact damage short","시간 손실 충돌 효과음 짧고 둔한 퍽 + 낮은 디지털 하강음","충돌과 시간 손실을 한 소리로; 연속 접촉에는 판정당 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"2","P0","공통","전체 게임 공통","스테이지 성공","sfx_common_stage_clear.wav","클리어 확정","밝은 3음 상승 징글","0.8","아니오","arcade success jingle short","스테이지 성공 효과음 밝은 3음 상승 징글","직접 합성 가능; 게임별 성공음은 이 소리를 재사용","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"3","P0","공통","전체 게임 공통","스테이지 실패","sfx_common_stage_fail.wav","실패 확정","낮아지는 2음 + 짧은 끊김","0.7","아니오","arcade fail game over short","스테이지 실패 효과음 낮아지는 2음 + 짧은 끊김","단순 충돌과 구분; 목숨 손실마다 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"4","P0","공통","전체 게임 공통","시간 부족 경고","sfx_common_timer_warning.wav","남은 시간 경고 진입","날카롭지 않은 짧은 삑","0.12","아니오","soft countdown warning beep","시간 부족 경고 효과음 날카롭지 않은 짧은 삑","직접 합성; 마지막 5초 초당 1회 제안; 중복 경고 금지","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"5","P0","E4","가속 대쉬","누적 가속 탭","sfx_e4_accel_tap.wav","방향키를 새로 누를 때","짧은 슝 + 상승 신스","0.18","아니오","arcade boost short synth whoosh","누적 가속 탭 효과음 짧은 슝 + 상승 신스","누적 속도에 따라 피치 상승; 길게 누르기는 반복 재생하지 않음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"6","P0","E4","가속 대쉬","밀리는 브레이크","sfx_e4_brake_slide.wav","키를 놓고 관성으로 감속","가벼운 끼익 + 마찰","0.6","아니오","short tire skid cartoon brake","밀리는 브레이크 효과음 가벼운 끼익 + 마찰","차량 엔진보다 얇게; 속도가 낮으면 생략; 정지하면 페이드","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"7","P0","E8","거미줄 질주","거미줄 발사와 부착","sfx_e8_web_attach.wav","앵커 연결 성공","쐭 + 쫀득한 탁","0.3","아니오","elastic whip sticky snap whoosh","거미줄 발사와 부착 효과음 쐭 + 쫀득한 탁","고무줄 튕김과 접착 소리 합성; 부착 실패 때는 재생하지 않음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"8","P0","E8","거미줄 질주","거미줄 해제","sfx_e8_web_release.wav","줄을 놓고 날아갈 때","짧은 휙","0.2","아니오","fast whip release short","거미줄 해제 효과음 짧은 휙","부착음보다 가볍게; 실제 줄 해제에만 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"9","P0","E5","두쫀쿠 새총","새총 발사","sfx_e5_slingshot_release.wav","두쫀쿠 발사","팡 + 고무줄 튕김","0.3","아니오","slingshot rubber band release","새총 발사 효과음 팡 + 고무줄 튕김","직접 고무줄 녹음 가능; 당긴 세기에 따라 볼륨 변화","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"10","P0","E5","두쫀쿠 새총","두딱쿠 명중","sfx_e5_target_pop.wav","표적 제거 확정","초콜릿 바삭 + 낮은 뽁","0.3","아니오","chocolate crack soft pop impact","두딱쿠 명중 효과음 초콜릿 바삭 + 낮은 뽁","과자 부수기와 팝 합성; 나무 타격보다 명확하게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"11","P0","E7","월드컵 조추첨","룰렛 칸 통과","sfx_e7_roulette_tick.wav","회전 중 국가 칸 경계 통과","건조한 딸깍","0.05","아니오","wheel fortune tick ratchet single","룰렛 칸 통과 효과음 건조한 딸깍","단발 파일; 회전 속도로 간격 결정; 과밀하면 40ms 간격 제한 제안","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"12","P0","E7","월드컵 조추첨","추첨 정지","sfx_e7_draw_stop.wav","룰렛이 완전히 멈춤","묵직한 탁","0.2","아니오","mechanical wheel stop clunk","추첨 정지 효과음 묵직한 탁","정지 순간 1회 후 공통 성공/오답 소리; 결과가 들리도록 시간차","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"13","P0","E2","왁뿌볼 / 바운스볼","왁뿌볼 점프","sfx_e2_wax_jump.wav","점프 성립","말랑한 뿅","0.18","아니오","soft rubber ball boing short","왁뿌볼 점프 효과음 말랑한 뿅","직접 합성; 착지와 다른 음높이","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"14","P0","E2","왁뿌볼 / 바운스볼","왁스 껍질 균열","sfx_e2_wax_crack.wav","점프로 껍질이 깎일 때","얇게 빠각 부스러지는 소리","0.25","아니오","thin wax shell crack crinkle","왁스 껍질 균열 효과음 얇게 빠각 부스러지는 소리","얇은 과자/왁스 녹음; 점프 위에 작게 겹쳐 점프력 감소 전달","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"15","P0","E1","중력 대쉬","중력 반전","sfx_e1_gravity_flip.wav","중력 전환 입력 성립","상하로 꺾이는 디지털 슝","0.18","아니오","8 bit gravity flip laser sweep","중력 반전 효과음 상하로 꺾이는 디지털 슝","직접 신스 합성; 반전 방향별 피치 변형으로 같은 파일 활용","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"16","P0","E10","피겨 암호","회전 점프","sfx_e10_spin_jump.wav","점프 성립","빙판 긁기 + 가벼운 휘익","0.3","아니오","ice skate jump spin whoosh","회전 점프 효과음 빙판 긁기 + 가벼운 휘익","빙판 이륙과 회전 합성; 착지 소리는 별도","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"17","P0","E10","피겨 암호","정답 숫자 입력","sfx_e10_digit_correct.wav","올바른 숫자 블록 입력","맑은 딩 + 작은 얼음 톡","0.25","아니오","ice chime correct answer short","정답 숫자 입력 효과음 맑은 딩 + 작은 얼음 톡","숫자 진행별 피치 소폭 상승; 최종 4자리 완성은 공통 성공음","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"18","P0","E10","피겨 암호","오답 숫자 입력","sfx_e10_digit_wrong.wav","잘못된 숫자 블록 입력","짧고 낮은 둣","0.2","아니오","soft wrong answer error blip","오답 숫자 입력 효과음 짧고 낮은 둣","스테이지 실패보다 짧게; 오답과 게임 종료 구분","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P0",""
"19","P1","공통","전체 게임 공통","메뉴 선택","sfx_common_ui_click.wav","버튼 선택 성립","작은 디지털 톡","0.08","아니오","minimal game ui click","메뉴 선택 효과음 작은 디지털 톡","직접 합성; 모든 메뉴 재사용; 이동 호버음은 생략","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"20","P1","공통","전체 게임 공통","스테이지 시작","sfx_common_stage_start.wav","조작 가능 상태 진입","짧은 시작 신호","0.4","아니오","arcade ready start cue short","스테이지 시작 효과음 짧은 시작 신호","시작 문구마다 반복하지 말고 실제 시작에 1회","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"21","P1","E4","가속 대쉬","속도 바람","sfx_e4_speed_wind.wav","이동 속도가 높아질 때","얇은 바람과 신스 질주감","2","예","sci fi racing wind loop seamless","속도 바람 효과음 얇은 바람과 신스 질주감","속도로 볼륨/필터 변화; 정지와 메뉴에서 종료; 브레이크를 가리지 않게","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
"22","P1","E8","거미줄 질주","스윙 바람","sfx_e8_swing_wind.wav","빠르게 스윙하거나 비행","넓게 흐르는 바람","2","예","fast air movement wind loop","스윙 바람 효과음 넓게 흐르는 바람","실제 속도로 볼륨 변화; 화면 최저점 통과에서 자연스럽게 커짐","전용 파일 미등록; 현재 일부 이벤트는 공통 합성음 사용","미착수","","","P1",""
